countrycode	quint_last
ABW	4
AFG	2
AGO	2
ALB	3
AND	5
ANT	4
ARE	5
ARG	4
ARM	2
ASM	3
ATG	5
AUS	5
AUT	5
AZE	3
BDI	1
BEL	5
BEN	1
BFA	1
BGD	1
BGR	4
BHR	5
BHS	4
BIH	3
BLR	3
BLZ	3
BMU	5
BOL	2
BRA	4
BRB	5
BRN	5
BTN	2
BWA	3
CAF	1
CAN	5
CHE	5
CHI	4
CHL	4
CHN	3
CIV	1
CMR	1
COD	1
COG	2
COL	3
COM	1
CPV	2
CRI	3
CUB	3
CYM	3
CYP	5
CZE	4
DEU	5
DJI	1
DMA	4
DNK	5
DOM	3
DZA	3
ECU	3
EGY	2
ERI	1
ESP	5
EST	5
ETH	1
FIN	5
FJI	2
FRA	5
FRO	4
FSM	2
GAB	3
GBR	5
GEO	3
GHA	1
GIB	4
GIN	1
GMB	1
GNB	1
GNQ	2
GRC	5
GRD	3
GRL	4
GTM	3
GUM	3
GUY	2
HKG	5
HND	2
HRV	4
HTI	1
HUN	4
IDN	2
IMN	4
IND	2
IRL	5
IRN	4
IRQ	2
ISL	5
ISR	5
ITA	5
JAM	3
JOR	3
JPN	5
KAZ	3
KEN	1
KGZ	2
KHM	1
KIR	2
KNA	4
KOR	5
KSV	3
KWT	4
LAO	1
LBN	3
LBR	1
LBY	3
LCA	4
LIE	5
LKA	2
LSO	1
LTU	4
LUX	5
LVA	4
MAC	4
MAR	2
MCO	5
MDA	2
MDG	2
MDV	3
MEX	4
MHL	2
MKD	3
MLI	1
MLT	5
MMR	1
MNE	4
MNG	2
MNP	3
MOZ	1
MRT	1
MUS	3
MWI	1
MYS	4
MYT	3
NAM	2
NCL	3
NER	1
NGA	1
NIC	2
NLD	5
NOR	5
NPL	1
NZL	5
OMN	3
PAK	1
PAN	4
PER	3
PHL	2
PLW	4
PNG	1
POL	4
PRI	3
PRK	2
PRT	5
PRY	2
PSE	1
PYF	3
QAT	5
ROU	3
RUS	4
RWA	1
SAU	4
SDN	2
SEN	1
SGP	5
SLB	1
SLE	1
SLV	3
SMR	5
SOM	2
SRB	4
STP	2
SUR	3
SVK	4
SVN	5
SWE	5
SWZ	2
SYC	4
SYR	2
TCA	2
TCD	1
TGO	1
THA	3
TJK	1
TKM	2
TLS	2
TON	3
TTO	4
TUN	3
TUR	4
TUV	3
TZA	1
UGA	1
UKR	3
URY	4
USA	5
UZB	2
VCT	4
VEN	4
VIR	4
VNM	2
VUT	2
WSM	2
YEM	1
ZAF	3
ZMB	1
ZWE	1
